org_id,org_name,url,hgnc_id,symbol,orphacode,country,org_type,registry_platform,registry_url,natural_history_study,data_elements_documented,irb_status,maturity_stage,coalitions,contact,status,source,reviewed_by,review_date,notes
,Batten Disease Support and Research Association,https://www.bdsra.org,HGNC:2074,CLN3,699780;699796,US,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,REN,,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 1998; 501c3 OH
,Batten Disease Support and Research Association,https://www.bdsra.org,HGNC:2076,CLN5,699802;699807;699812,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 1998; 501c3 OH
,Batten Disease Support and Research Association,https://www.bdsra.org,HGNC:2077,CLN6,700467;700472;700477,US,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,REN,,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 1998; 501c3 OH
,Batten Disease Support and Research Association,https://www.bdsra.org,HGNC:2079,CLN8,1947;700484,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 1998; 501c3 OH
,Batten Disease Support and Research Association,https://www.bdsra.org,HGNC:9325,PPT1,699718;699734;699739;699745,US,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,REN,,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 1998; 501c3 OH
,Batten Disease Support and Research Association,https://www.bdsra.org,HGNC:2073,TPP1,284324;699751;699761;699769,US,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,REN,,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 1998; 501c3 OH
,Batten Disease Support and Research Association,https://www.bdsra.org,HGNC:28486,MFSD8,1872;228366,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 1998; 501c3 OH
,BPAN Warriors,https://www.bpanwarriors.org/,HGNC:28912,WDR45,329284;697160,US,foundation,,,,,,,REN,,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 2018; 501c3 FL
,Bridge the Gap - SYNGAP Education and Research Foundation,https://bridgesyngap.org,HGNC:11497,SYNGAP1,1942;442835;544254,US,foundation,,,yes,,,,REN,,candidate,epilepsylive_orgs;everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2014; 501c3 TX
,CFC International,https://www.cfcsyndrome.org,HGNC:1097,BRAF,1340;146;251615;500;54595;58017;626;648;687730;687733;687738;687741;840;96253,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 1999; 501c3 NY
,CFC International,https://www.cfcsyndrome.org,HGNC:6840,MAP2K1,1340;389,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 1999; 501c3 NY
,CFC International,https://www.cfcsyndrome.org,HGNC:6842,MAP2K2,1340;638,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 1999; 501c3 NY
,CFC International,https://www.cfcsyndrome.org,HGNC:6407,KRAS,1333;1340;144;146;2396;251615;2612;268114;3339;648;86834,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 1999; 501c3 NY
,Christianson Syndrome Association,https://www.csa-cares.org,HGNC:11079,SLC9A6,85278,US,foundation,REDCap,,yes,,,,REN,,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 2011; 501c3 TX
,CureGRIN Foundation,https://www.curegrin.org,HGNC:4584,GRIN1,178469;1934;208447;88616,US,foundation,REDCap,https://curegrin.org/gri-registry/ | https://grin2b.com/grin-registry/ | https://curegrin.org/gricensus/,,,,,REN,,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 2019; 501c3 CO
,CureGRIN Foundation,https://www.curegrin.org,HGNC:4585,GRIN2A,163721;1945;289266;725;98818,US,foundation,Foundation-hosted,https://curegrin.org/gri-registry/ | https://grin2b.com/grin-registry/ | https://curegrin.org/gricensus/,,,,,REN,,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 2019; 501c3 CO
,CureGRIN Foundation,https://www.curegrin.org,HGNC:4586,GRIN2B,589547;697160,US,foundation,Foundation-hosted,https://grin2b.com/register/,unknown,,,,REN,info@grin2b.com,candidate,epilepsylive_orgs;everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2019; 501c3 CO
,CureGRIN Foundation,https://www.curegrin.org,HGNC:4588,GRIN2D,442835,US,foundation,Foundation-hosted,https://curegrin.org/gri-registry/ | https://grin2b.com/grin-registry/ | https://curegrin.org/gricensus/,,,,,REN,,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 2019; 501c3 CO
,DDX3X Foundation,https://www.ddx3x.org,HGNC:2745,DDX3X,3338;457260;99861,US,foundation,Citizen,https://ddx3x.org/registry/,yes,,,,REN,,candidate,epilepsylive_orgs;everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2018; 501c3 DE
,DNM1 dynamos - Connecting DNM1 Families,https://www.facebook.com/groups/1065172710162616/,HGNC:2972,DNM1,2382;442835,US,family group,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2015; Non incorporated support group
,Doose Syndrome Epilepsy Alliance,https://www.doosesyndrome.org,,,,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2002; 501c3 CO; no gene assigned (phenotype-defined or CNV)
,Dravet Syndrome Foundation,https://www.dravetfoundation.org,HGNC:10585,SCN1A,1942;2382;293181;33069;36387;442835;569,US,foundation,Foundation-hosted,https://dravetfoundation.org/research/for-patients-families/registry-natural-history-studies/,,,,,REN,info@dravetfoundation.org,candidate,epilepsylive_orgs;registries_2020;rela_2019,,,RELA 2019 profile; founded 2009; 501c3 CT
,Dup15q Alliance,https://www.dup15q.org,,,,US,foundation,,,,,,,REN,,candidate,registries_2020;rela_2019,,,RELA 2019 profile; founded 2004; 501c3 OR; no gene assigned (phenotype-defined or CNV)
,FamilieSCN2A Foundation,https://www.scn2a.org,HGNC:10588,SCN2A,140927;178469;1934;2131;293181;306;33069;36387;697160,US,foundation,Foundation-hosted,https://scn2a.iamrare.org/,unknown,,,,REN,info@scn2a.org,candidate,epilepsylive_orgs;everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2014; 501c3 MA
,Glut1 Deficiency Foundation,https://www.g1dfoundation.org,HGNC:11005,SLC2A1,168577;1942;2131;53583;71277;86911;98811,US,foundation,Foundation-hosted,https://www.g1dfoundation.org/natural-history-study/,,,,,REN,hello@G1DFoundation.org,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 2011; 501c3 IND
,Hope4Harper,https://www.hope4harper.com,HGNC:11411,CDKL5,1934;3095;505652;697160,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2012; 501c3 TX
,International Foundation for CDKL5 Research,https://www.cdkl5.com,HGNC:11411,CDKL5,1934;3095;505652;697160,US,foundation,REDCap,https://cdkl5.com/help-our-researchers,yes,,,,REN,info@cdkl5.com,candidate,epilepsylive_orgs;everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2009; 501c3 OH
,LGS Foundation,https://www.lgsfoundation.org,,,,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2008; 501c3 NY; no gene assigned (phenotype-defined or CNV)
,Lissencephaly Foundation Inc,http://lissfoundation.org/,HGNC:8574,PAFAH1B1,217385;531;95232;99796,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2019; 501c3 Pending CA
,Lissencephaly Foundation Inc,http://lissfoundation.org/,HGNC:2714,DCX,2148;99796,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2019; 501c3 Pending CA
,Lissencephaly Foundation Inc,http://lissfoundation.org/,HGNC:20766,TUBA1A,171680;45358;467166;994,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2019; 501c3 Pending CA
,"Mickie’s Miracles - Infantile Spasms, Pediatric Epilepsy",https://www.mickiesmiracles.org,,,,US,foundation,,,unknown,,,,REN,,candidate,everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2016; 501c3 CA; no gene assigned (phenotype-defined or CNV)
,NORSE Institute,http://www.norseinstitute.org,,,,US,family group,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2015; Non incorporated Support or other Group; no gene assigned (phenotype-defined or CNV)
,Phelan-McDermid Syndrome Foundation,https://www.pmsf.org/,HGNC:14294,SHANK3,662169;662172,US,foundation,Matrix (Across Healthcare),https://pmsf.org/datahub/,yes,,,,REN,info@pmsf.org,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 2013; 501c3 FL
,Project 8p,https://www.project8p.org,,,,US,foundation,,,,,,,REN,,candidate,registries_2020;rela_2019,,,RELA 2019 profile; founded 2019; 501c3 DE; no gene assigned (phenotype-defined or CNV)
,PVNH Support & Awareness,https://www.PVNHSupport.com,HGNC:3754,FLNA,1826;2301;2484;482606;555877;75497;88630;90650;90652;98892;99811,US,family group,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2009; Non Incorporated Support or Other
,Ring Chromosome 20 Alliance,https://www.facebook.com/pg/RC20Alliance/about/?ref=page_internal,,,,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2015; 501c3 PA; no gene assigned (phenotype-defined or CNV)
,Ring 14 USA,https://www.ring14usa.org,,,,US,foundation,,,yes,,,,REN,,candidate,everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2011; 501c3 CA; no gene assigned (phenotype-defined or CNV)
,SLC6A1 Connect.,https://slc6a1connect.org,HGNC:11042,SLC6A1,178469;1942;435638,US,foundation,Citizen,https://slc6a1connect.org/registry/,yes,,,,REN,afreed@slc6a1connect.org,candidate,epilepsylive_orgs;everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2018; 501c3 CO
,SynGAP Research Fund,https://www.syngapresearchfund.com,HGNC:11497,SYNGAP1,1942;442835;544254,US,foundation,Citizen,https://curesyngap1.org/join-the-citizen-registry/,,,,,REN,info@cureSYNGAP1.org,candidate,epilepsylive_orgs;rela_2019,,,RELA 2019 profile; founded 2018; 501c3 CA
,The Bow Foundation,https://gnao1.org/,HGNC:4389,GNAO1,1934;592564,US,foundation,Pulse Infoframe,https://gnao1.org/gnao1-international-patient-registry/,yes,,,,REN,,candidate,epilepsylive_orgs;everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2017; 501c3 VA
,The Brain Recovery Project: Childhood Epilepsy Surgery Foundation,https://www.brainrecoveryproject.org,,,,US,foundation,,,unknown,,,,REN,,candidate,everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2011; 501c3 CA; no gene assigned (phenotype-defined or CNV)
,The Cute Syndrome,https://www.thecutesyndrome.com,HGNC:10596,SCN8A,178469;306;442835;86909,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2014; 501c3 MD
,The TBCK Foundation,https://www.tbckfoundation.com,HGNC:28261,TBCK,488632,US,foundation,,,unknown,,,,REN,,candidate,everycure_rdnp;rela_2019,,,RELA 2019 profile; founded 2019; 501c3 ILL
,Tuberous Sclerosis Alliance,https://www.tsalliance.org,HGNC:12362,TSC1,210159;269008;538;805,US,foundation,,,,,,,REN,,candidate,fda_pfdd;registries_2020;rela_2019,,,RELA 2019 profile; founded 1975; 501c3 CA
,Tuberous Sclerosis Alliance,https://www.tsalliance.org,HGNC:12363,TSC2,210159;269001;269008;538;805;88924,US,foundation,,,,,,,REN,,candidate,fda_pfdd;registries_2020;rela_2019,,,RELA 2019 profile; founded 1975; 501c3 CA
,Wishes for Elliott: Advancing SCN8A Research,https://www.wishesforelliott.org,HGNC:10596,SCN8A,178469;306;442835;86909,US,foundation,,,,,,,REN,,candidate,rela_2019,,,RELA 2019 profile; founded 2015; 501c3 DC
,ADCY5 registry (Citizen Health),https://www.citizen.health/ai-advocate/adcy5,HGNC:236,ADCY5,1429;324588,,registry,Citizen,https://www.citizen.health/ai-advocate/adcy5,,,,,,,candidate,citizen_registry,,,
,AGS registry (Citizen Health),https://www.citizen.health/ai-advocate/agsaa,HGNC:6188,JAG1,261600;261619;3303,,registry,Citizen,https://www.citizen.health/ai-advocate/agsaa,,,,,,,candidate,citizen_registry,,,
,CACNA1A registry (Citizen Health),https://www.citizen.health/ai-advocate/cacna1a,HGNC:1388,CACNA1A,2131;2382;442835;569;71518;97;98758,,registry,Citizen,https://www.citizen.health/ai-advocate/cacna1a,,,,,,,candidate,citizen_registry,,,
,CASK registry (Citizen Health),https://www.citizen.health/ai-advocate/project-cask,HGNC:1497,CASK,163937;1934;777,,registry,Citizen,https://www.citizen.health/ai-advocate/project-cask,,,,,,,candidate,citizen_registry,,,
,CFC registry (Citizen Health),https://www.citizen.health/ai-advocate/cfc-international,HGNC:11580,TBCC,,,registry,Citizen,https://www.citizen.health/ai-advocate/cfc-international,,,,,,,candidate,citizen_registry,,,
,CHD2 registry (Citizen Health),https://www.citizen.health/ai-advocate/ccc,HGNC:1917,CHD2,1942;2382,,registry,Citizen,https://www.citizen.health/ai-advocate/ccc,,,,,,,candidate,citizen_registry,,,
,CLN2 registry (Citizen Health),https://www.citizen.health/ai-advocate/cln2,HGNC:2073,TPP1,284324;699751;699761;699769,,registry,Citizen,https://www.citizen.health/ai-advocate/cln2,,,,,,,candidate,citizen_registry,,,
,Cholangiocarcinoma (Bile Duct Cancer) registry (Citizen Health),https://www.citizen.health/ai-advocate/cmt4b3,,CMT4B3,,,registry,Citizen,https://www.citizen.health/ai-advocate/cmt4b3,,,,,,,candidate,citizen_registry,,,
,CMT4J registry (Citizen Health),https://www.citizen.health/ai-advocate/cure-cmt4j,HGNC:16873,FIG4,139515;208441;3472;803,,registry,Citizen,https://www.citizen.health/ai-advocate/cure-cmt4j,,,,,,,candidate,citizen_registry,,,
,CSNK2B registry (Citizen Health),https://www.citizen.health/ai-advocate/csnk2b-foundation,HGNC:2460,CSNK2B,178469;689397,,registry,Citizen,https://www.citizen.health/ai-advocate/csnk2b-foundation,,,,,,,candidate,citizen_registry,,,
,CTNNB1 registry (Citizen Health),https://www.citizen.health/ai-advocate/ctnnb1,HGNC:2514,CTNNB1,1501;210159;2780;33402;404473;54595;569248;689430;873;891;91414;952,,registry,Citizen,https://www.citizen.health/ai-advocate/ctnnb1,,,,,,,candidate,citizen_registry,,,
,DLG4 registry (Citizen Health),https://www.citizen.health/ai-advocate/shine-syndrome,HGNC:2903,DLG4,528084,,registry,Citizen,https://www.citizen.health/ai-advocate/shine-syndrome,,,,,,,candidate,citizen_registry,,,
,DNM1-related epilepsy registry (Citizen Health),https://www.citizen.health/ai-advocate/dnm1-epilepsy,HGNC:2972,DNM1,2382;442835,,registry,Citizen,https://www.citizen.health/ai-advocate/dnm1-epilepsy,,,,,,,candidate,citizen_registry,,,
,DYNC1H1 registry (Citizen Health),https://www.citizen.health/ai-advocate/dync1h1-association,HGNC:2961,DYNC1H1,178469;209341;284232,,registry,Citizen,https://www.citizen.health/ai-advocate/dync1h1-association,,,,,,,candidate,citizen_registry,,,
